total_spins,total_wins,volitily,total_payout,avg_payout,total_bonus_spins,bonus_spin_prec,freq_Orange,freq_Apple,freq_Grape,freq_Strawberry,freq_Mango,freq_Banana,freq_Cherry,freq_Lemon,freq_Seven,freq_Bonus,freq_Multiplier,freq_Wild,multi_Orange,multi_Apple,multi_Grape,multi_Strawberry,multi_Mango,multi_Banana,multi_Cherry,multi_Lemon,multi_Seven,multi_Bonus
1500,2482,79.13333333333334,4366.129999999935,1.7591176470587973,194,12.933333333333334,0.13667288765757368,0.11399098604255661,0.02903884093701301,0.1191789281215956,0.15363344799320705,0.006182883804000332,0.019163411153352915,0.1570424726367264,0.001771196592055436,0.0388603680197341,0.11438609322037911,0.11007848382180578,1.65,0.33,1.42,1.65,1.53,0.95,0.81,1.27,11,
1500,1846,68.60000000000001,3350.399999999993,1.8149512459371575,466,31.066666666666663,0.03736292507797721,0.15838455139502733,0.08982017582604063,0.15483348300577032,0.0566841553464644,0.08363833803853483,0.025756514111859224,0.12031238738976498,0.0033805123856765857,0.11511119940810416,0.07806291367527134,0.07665284433950906,0.96,1.91,0.76,0.45,0.51,1.97,1.11,1.96,5,
1500,2032,70.19999999999999,3003.840000000024,1.4782677165354448,249,16.6,0.030557425651901202,0.14898540507483055,0.048183219921204334,0.04852003791942443,0.07228411859832816,0.14858165670976356,0.12107987915390961,0.08026380890447717,0.0055211331749825425,0.0657009831959825,0.0748179938486976,0.15550433784649836,1.34,0.54,0.3,1.12,1.45,1.5,1.5,1.62,10,
1500,1972,70.06666666666666,2890.9399999999446,1.465993914807274,26,1.7333333333333332,0.12622754663327135,0.003433330184594746,0.11912738582110073,0.1384024957853186,0.10700306742360001,0.10879889875960988,0.06999158431675251,0.11028484130929776,0.00021998336631194457,0.005813378383225417,0.12312949804791917,0.08756798996899796,1.96,0.8,0.76,0.21,1.07,1.76,1.09,1.67,14,
1500,1936,72.86666666666667,1861.0800000000054,0.9613016528925648,612,40.8,0.06327432000577923,0.12078173877177713,0.06877268450131777,0.004744556865010411,0.16088276991943629,0.0851306313510398,0.12783556504814378,0.033963617955612674,0.005060155780822354,0.13378605837136018,0.05415323359784544,0.14161466783185492,1.31,1.27,0.68,0.59,0.53,1.07,1.01,1.54,12,
1500,2192,75.6,4048.0599999999263,1.8467427007298933,226,15.066666666666666,0.15173766434186953,0.13646787548571235,0.09577870594701299,0.02512543371883816,0.003723217226314469,0.039861519193135915,0.1324464720946275,0.0705967153516293,0.007975675855011216,0.057885920509841614,0.13229849481914183,0.1461023054568652,1.37,0.9,0.92,0.8,0.79,1.71,1.67,1.31,8,
1500,2401,81.39999999999999,2068.4199999999446,0.8614827155351706,1406,93.73333333333333,0.011992314778039942,0.10413234999728353,0.16363168234139433,0.17124257633732426,0.08590513011365461,0.03592863093491509,0.01850262505678503,0.15098220893943348,0.008238271031057832,0.1861810808569339,0.0189680799182929,0.04429504969488507,1.45,0.63,1.03,0.24,0.73,1.71,1.51,1.31,10,
1500,2677,81.13333333333334,3000.69000000003,1.1209152035861152,276,18.4,0.16870986375164254,0.04851429810521828,0.17210936679620878,0.024297924801768053,0.1179657687547817,0.08449652078360896,0.15295480443105955,0.0606285113497232,0.004604700962183446,0.053582805844262275,0.009718675260073018,0.10241675915947014,1.07,0.46,0.56,0.67,0.57,1.07,1.75,1.56,7,
1500,2051,72.53333333333333,1794.8899999999994,0.8751292052657238,236,15.733333333333333,0.12432666118512985,0.07195713242666452,0.03728910617586992,0.10504132295586438,0.15123112710458506,0.06086356273696748,0.16161297447303147,0.11234383680926296,0.003414513025054756,0.05042159864699241,0.04528290887258138,0.07621525558799572,1.15,0.93,0.24,1.68,1.13,1.56,0.25,0.31,13,
1500,2787,80.60000000000001,2464.8300000000477,0.8844025834230527,379,25.266666666666666,0.21003201834045948,0.06206507510815914,0.07854068938304999,0.0064400596409954205,0.043863506656253375,0.12876768045802314,0.0010257539072581338,0.07274420721121727,0.006212064008225602,0.07846468947430588,0.1360083316825764,0.17583592412947616,0.26,1.48,0.27,1.57,0.86,1.22,0.37,1.72,8,
1500,3804,87.86666666666667,9268.099999999722,2.43640904311244,708,47.199999999999996,0.0011435575033977925,0.05592051177107224,0.03868998434856456,0.05046036170755009,0.00792410384173944,0.08988103893314375,0.014672030763509545,0.22665848872657376,0.0031625115799272818,0.09393839339814032,0.14345194272398007,0.27409707470240113,0.97,1.69,0.95,1.52,0.22,0.48,1.7,1.73,11,
1500,2436,78.53333333333333,1814.359999999998,0.7448111658456478,178,11.866666666666667,0.17211944816673042,0.08599653934510514,0.06822214809386375,0.04703136386123512,0.09816040228146157,0.17197019904386476,0.08290663783489262,0.14920335324500725,0.007165058409814726,0.037144834965364006,0.04554078012971146,0.034539234622949375,0.46,1.11,0.33,1.02,1.44,0.58,0.24,1.35,13,
1500,1994,71.53333333333333,1856.399999999995,0.930992978936808,330,22.0,0.12969809801275653,0.1392463034741735,0.09498225358803197,0.03571717785517455,0.10975052061365662,0.142595856240517,0.0900076738640489,0.12384559270806,0.006930251323531297,0.0814756837464194,0.0002570684278634341,0.045493520145767005,0.3,0.62,0.73,1.85,1.54,0.71,1.28,0.91,14,
1500,1776,67.60000000000001,3909.4299999999585,2.201255630630607,106,7.066666666666667,0.061022912446208,0.08865892709347399,0.09371415984696185,0.1245560026460448,0.12869855491082766,0.12926174097438944,0.03483507176043138,0.09334849868316468,0.005956235335898058,0.03253378426237343,0.08381973927477239,0.12359437276545437,0.55,1.75,1.82,1.95,1.94,0.25,1.72,1.97,8,
1500,2793,84.26666666666667,5415.479999999963,1.9389473684210394,1135,75.66666666666667,0.1998246742438878,0.1030869101542839,0.02341214601490781,0.053435313054617115,0.10567073533027696,0.19062781342245252,0.019779489597682956,0.04533645196266205,0.00821575803219439,0.15891292481907582,0.016716207700826713,0.07498157566713207,1.89,1.83,0.21,1.43,1.93,0.73,1.81,0.54,12,
1500,3463,87.6,3124.000000000019,0.9021079988449376,911,60.73333333333333,0.0021803484862148326,0.22150876227390337,0.1811006669152083,0.0788668355930652,0.06860557882428933,0.019990330341104534,0.01871718291505411,0.1836415621444001,0.007032313940056735,0.11661835235727037,0.04714696280858617,0.05459110340084697,0.43,0.92,1.43,0.49,1.31,0.65,1.79,0.24,13,
1500,1725,66.8,1350.7800000000016,0.7830608695652183,83,5.533333333333333,0.09918254854932061,0.13083885789573302,0.08228340283076445,0.1066443422153642,0.1264397168780157,0.10080502528192427,0.052117554500506445,0.08449508782241431,0.0017820306435591782,0.022160884508917008,0.06681170973520507,0.12643883913827583,1.69,0.53,1.81,0.72,0.28,0.44,0.58,0.9,13,
1500,2664,81.53333333333333,3743.870000000085,1.4053566066066385,1099,73.26666666666667,0.008069366429097294,0.015981792163726416,0.17996493164047142,0.06819264060433895,0.15704319086565144,0.02478798612139854,0.03475851288194914,0.1777984674231954,0.007829845189818677,0.16237537005852865,0.07788778614063561,0.08531011048118836,0.61,0.51,1.41,0.91,1.74,0.69,0.58,0.45,6,
